Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2024-12-01 15:10:58,false,"Indoor Cycling","0.00","262","00:30:02","126","144","--","--","--","--","--","--","--","0.0","--","No","00:30:02","1","--","--","--","--","--","--","--","--","00:00:00","00:30:02","--","--"
Indoor Cycling,2024-11-28 13:14:49,false,"Indoor Cycling","0.00","229","00:30:03","119","149","--","--","--","--","--","--","--","0.0","--","No","00:30:03","1","--","--","--","--","--","--","--","--","00:00:00","00:30:03","--","--"
Running,2024-11-06 13:17:53,false,"Benito Juárez Running","4.80","370","00:29:09","158","177","167","176","6:04","5:27","18","9","0.99","0.0","4,878","No","00:04:31.0","5","--","--","--","--","--","--","--","--","00:29:08","00:29:09","2,240","2,250"
Running,2024-11-02 16:44:50,false,"Ecatepec de Morelos Running","1.52","107","00:10:09","130","144","162","169","6:40","6:03","4","4","0.92","0.0","1,648","No","00:03:28.3","2","--","--","--","--","--","--","--","--","00:10:03","00:10:09","2,229","2,235"
Running,2024-10-25 18:15:58,false,"Ecatepec de Morelos Running","3.15","233","00:21:17","144","157","162","168","6:45","6:12","17","16","0.92","0.0","3,432","No","00:01:03.7","4","--","--","--","--","--","--","--","--","00:21:04","00:21:17","2,229","2,241"
Running,2024-09-12 18:04:51,false,"Ecatepec de Morelos - Series a umbral","10.90","774","01:04:36","149","179","160","187","5:56","4:08","38","36","1.04","0.0","10,444","No","00:00:01.7","15","--","--","--","--","--","--","--","--","01:03:31","01:04:36","2,225","2,236"
Running,2024-08-25 06:31:56,false,"Coyoacán Running","42.85","2,999","03:47:46","163","180","174","185","5:19","4:02","442","493","1.08","0.0","39,572","No","00:04:27.3","43","--","--","--","--","--","--","--","--","03:47:36","03:47:46","2,230","2,294"
Running,2024-08-22 18:36:33,false,"Ecatepec de Morelos Running","7.13","493","00:47:44","130","143","165","180","6:42","5:52","26","24","0.91","0.0","7,874","No","00:00:49.6","8","--","--","--","--","--","--","--","--","00:47:37","00:47:44","2,225","2,241"
Running,2024-08-21 18:51:48,false,"Ecatepec de Morelos - Lluvia","7.94","569","00:49:14","142","188","146","207","6:12","3:11","29","26","1.06","0.0","7,528","No","00:01:26.8","13","--","--","--","--","--","--","--","--","00:46:56","00:49:14","2,226","2,237"
Running,2024-08-19 18:04:31,false,"Ecatepec de Morelos Running","7.16","485","00:48:18","127","139","164","176","6:45","5:38","22","20","0.90","0.0","7,928","No","00:01:08.4","8","--","--","--","--","--","--","--","--","00:47:55","00:48:38","2,225","2,241"
Running,2024-08-16 17:41:09,false,"Ecatepec de Morelos Running","18.01","1,253","01:28:08","169","189","177","183","4:54","4:33","71","71","1.15","0.0","15,600","No","00:00:01.7","19","--","--","--","--","--","--","--","--","01:27:56","01:28:08","2,224","2,242"
Running,2024-08-16 17:34:10,false,"Ecatepec de Morelos Running","1.29","90","00:08:23.8","127","137","164","170","6:31","6:02","8","6","0.94","0.0","1,380","No","00:01:48.1","2","--","--","--","--","--","--","--","--","00:08:18","00:08:23.8","2,225","2,233"
Running,2024-08-14 17:30:04,false,"Gustavo A Madero Running","5.04","330","00:39:59","112","128","161","169","7:56","6:01","21","21","0.78","0.0","6,442","No","00:00:20.5","6","--","--","--","--","--","--","--","--","00:39:57","00:39:59","2,225","2,245"
Running,2024-08-12 19:07:51,false,"Ecatepec de Morelos Running","3.27","224","00:22:46","124","134","161","168","6:58","5:28","7","8","0.89","0.0","3,672","No","00:01:56.0","4","--","--","--","--","--","--","--","--","00:22:45","00:22:46","2,225","2,236"
Running,2024-08-11 17:37:04,false,"Ecatepec de Morelos - Maratón","19.03","1,340","01:48:48","156","186","163","225","5:43","4:24","64","62","1.05","0.0","17,966","No","00:00:22.7","25","--","--","--","--","--","--","--","--","01:46:54","01:48:48","2,225","2,237"
Running,2024-08-10 17:58:13,false,"Ecatepec de Morelos Running","7.18","497","00:46:37","134","151","168","174","6:29","5:48","14","12","0.92","0.0","7,814","No","00:01:08.4","8","--","--","--","--","--","--","--","--","00:46:30","00:46:37","2,225","2,235"
Running,2024-08-08 17:07:50,false,"Ecatepec de Morelos Running","1.49","99","00:09:28.7","123","129","163","171","6:21","4:23","7","6","0.97","0.0","1,542","No","00:03:07.0","2","--","--","--","--","--","--","--","--","00:09:28.7","00:09:28.7","2,229","2,236"
Running,2024-08-07 16:32:39,false,"Ecatepec de Morelos Running","30.20","2,130","03:00:48","154","169","171","200","5:59","5:26","79","78","0.98","0.0","30,782","No","00:01:11.1","31","--","--","--","--","--","--","--","--","03:00:34","03:00:48","2,224","2,244"
Running,2024-08-06 19:12:02,false,"Ecatepec de Morelos Running","1.95","145","00:12:41","143","152","160","173","6:31","4:50","7","6","0.96","0.0","2,080","No","00:06:13.0","2","--","--","--","--","--","--","--","--","00:12:40","00:12:41","2,225","2,235"
Running,2024-08-06 17:59:12,false,"Ecatepec de Morelos Running","5.20","364","00:33:12","133","147","168","173","6:23","4:40","10","9","0.93","0.0","5,574","No","00:01:16.7","6","--","--","--","--","--","--","--","--","00:33:10","00:33:12","2,224","2,236"
Running,2024-08-05 17:54:51,false,"Ecatepec de Morelos - Maratón","16.51","1,163","01:35:55","148","172","163","182","5:49","4:13","42","41","1.05","0.0","15,854","No","00:00:02.8","20","--","--","--","--","--","--","--","--","01:33:23","01:35:55","2,225","2,248"
Running,2024-07-31 06:14:51,false,"Ecatepec de Morelos Running","28.00","2,041","02:48:14","155","174","170","177","6:00","5:02","73","74","0.98","0.0","28,474","No","00:00:00.9","29","--","--","--","--","--","--","--","--","02:47:57","02:48:14","2,224","2,236"
Running,2024-07-29 18:06:18,false,"Ecatepec de Morelos Running","7.12","504","00:46:20","129","145","165","243","6:30","5:33","34","32","0.93","0.0","7,616","No","00:00:44.5","8","--","--","--","--","--","--","--","--","00:46:18","00:46:20","2,225","2,236"
